DBA Name,Street Address,Yelp Name,Price Level,Rating,Review Count,Top Yelp Category,Is Closed,Yelp Address,Zipcode,Neighborhood
Pazzo,2 Henry Adams St,Caffe Pazzo,$,3.5,155,Cafes,TRUE,2 Henry Adams St,94103,
The Blue Plate,3218 Mission St,Blue Plate,$$$,4,1410,American (Traditional),FALSE,3218 Mission St,94110,Bernal Heights
Global Gourmet Catering,1030 Illinois St,Global Gourmet Catering,No record in Yelp,4.5,69,Caterers,FALSE,1030 Illinois St,94107,Potrero Hill
Global Gourmet,1030 Illinois St,Global Gourmet Catering,No record in Yelp,4.5,69,Caterers,FALSE,1030 Illinois St,94107,Potrero Hill
The Fillmore,1805 Geary Blvd,The Fillmore,$$,4,1148,Music Venues,FALSE,1805 Geary Blvd,94115,
Koh Samui & The Monkey,415 Brannan St,Koh Samui & The Monkey,$$,3.5,1044,Thai,TRUE,415 Brannan St,94107,
Club Waziema,543 Divisadero St,Club Waziema,$$,3.5,401,Ethiopian,FALSE,543 Divisadero St,94117,Hayes Valley
Mong Thu Coffee Shop,248 Hyde St,Mong Thu Cafe,$$,4.5,95,Vietnamese,FALSE,248 Hyde St,94102,Tenderloin
Giant Scoop Cafe,2708 San Bruno Ave,Giant Scoop Cafe,$,4,19,Chinese,FALSE,2708 San Bruno Ave,94134,Portola
Coffeeshop-3139 Mission,3139 Mission St,CoffeeShop,$$,4.5,343,Coffee & Tea,FALSE,3139 Mission St,94110,Bernal Heights
Destino,1815 Market St,Destino,$$,4,1180,Latin American,FALSE,1815 Market St,94103,Mission
Hai Sun Restaurant,3137 Laguna St,Hai Sun,$,3,144,Chinese,FALSE,3137 Laguna St,94123,Marina
Harrington Wine,1559 Custer Ave,Harrington Wines,$$,4.5,6,Wineries,FALSE,1559 Custer Ave,94124,Bayview Hunters Point
We Be Sushi,1071 Valencia St,We Be Sushi,$$,3.5,376,Sushi Bars,FALSE,1071 Valencia St,94110,Mission
Cheesecake Factory The,251 Geary St,The Cheesecake Factory,$$,3,3216,Desserts,FALSE,251 Geary St,94102,Financial District/South Beach
Beach Street Grill,380 Beach St,Beach Street Grill Restaurant,$$,4,463,American (Traditional),FALSE,380 Beach St,94133,North Beach
Far East Cafe,631 Grant Ave,Far East Cafe,$$,3,476,Chinese,FALSE,631 Grant Ave,94108,Chinatown
House Of Nanking,919 Kearny St,House of Nanking,$$,3.5,3376,Chinese,FALSE,919 Kearny St,94133,Chinatown
Basque Hotel,15 Romolo Pl,Basque Hotel,$$,4,12,Hotels,FALSE,15 Romolo Pl,94133,
Monterey Deli,499 Monterey Blvd,Monterey Deli,$,4.5,109,Delis,FALSE,499 Monterey Blvd,94127,West of Twin Peaks
Yakiniq,1640 Post St,Yakiniq,$$,3,1379,Korean,FALSE,1640 Post St,94115,Japantown
Lush Lounge,1221 Polk St,Lush Lounge,$$,4,696,Lounges,FALSE,1221 Polk St,94109,Nob Hill
Summer Place,801 Bush St,Summer Place Cocktail Lounge,$,4,164,Dive Bars,FALSE,801 Bush St,94108,
Cancun Restaurant,2288 Mission St,Taqueria Cancún,$,4,2022,Mexican,FALSE,2288 Mission St,94110,Mission
Taqueria Cancun #3,3211 Mission St,Taqueria Cancun,$,3.5,366,Mexican,FALSE,3211 Mission St,94110,Bernal Heights
Grumpy Cafe,66 Dorman Ave,Grumpy Cafe,$,4,25,Japanese,FALSE,66 Dorman Ave,94124,
Sfsu Station Cafe,1600 Holloway Ave,Station Cafe,$,3.5,67,Coffee & Tea,FALSE,1600 Holloway Ave,94132,Lakeshore
Cafe Rosso,1600 Holloway Ave,Cafe Rosso,$,3,149,Sandwiches,FALSE,1600 Holloway Ave,94132,Lakeshore
Taza Smoothies & Wraps,750 Font Blvd,Taza Smoothies & Wraps,$,3.5,54,Juice Bars & Smoothies,FALSE,750 Font Blvd,94132,Lakeshore
Lone Palm Bar,3394 22nd St,Lone Palm,$$,4,387,Bars,FALSE,3394 22nd St,94110,Mission
100% Sweet Cafe,2512 Clement St,100% Sweet Cafe,$,3,530,Asian Fusion,TRUE,2512 Clement St,94121,Outer Richmond
The Pig And Whistle,2801 Geary Blvd,The Pig & Whistle,$$,4,465,Pubs,FALSE,2801 Geary Blvd,94118,Lone Mountain/USF
Street Restaurant,2141 Polk St,Street Restaurant and Bar,$$,4,633,American (New),FALSE,2141 Polk St,94109,Russian Hill
Little Henry's,3600 Balboa St,Little Henry's,$$,3,261,Italian,FALSE,3600 Balboa St,94121,Outer Richmond
Chieftain The,198 5th St,The Chieftain Irish Pub & Restaurant,$$,4,867,Burgers,FALSE,198 5th St,94103,South of Market
The Chieftain Irish Pub,198 5th St,The Chieftain Irish Pub & Restaurant,$$,4,867,Burgers,FALSE,198 5th St,94103,South of Market
Arizmendi Bakery,1331 9th Ave,Arizmendi Bakery,$,4.5,1909,Bakeries,FALSE,1331 9th Ave,94122,Inner Sunset
Hard Knox Cafe,2526 3rd St,Hard Knox Cafe,$$,4,2143,Soul Food,FALSE,2526 3rd St,94107,Potrero Hill
Charlies Cafe,3202 Folsom St,Charlie's Deli Cafe,$,4.5,86,Delis,FALSE,3202 Folsom St,94110,
Hamano Sushi,1332 Castro St,Hamano Sushi,$$,3.5,396,Sushi Bars,FALSE,1332 Castro St,94114,Noe Valley
Bamboo Restaurant,1441 Polk St,Bamboo Restaurant,$$,3,428,Chinese,FALSE,1441 Polk St,94109,Nob Hill
Food City,403 Eddy St,Soul Food City,$,3.5,80,Soul Food,FALSE,403 Eddy St,94109,Tenderloin
Soul Food City,403 Eddy St,Soul Food City,$,3.5,80,Soul Food,FALSE,403 Eddy St,94109,Tenderloin
Buffalo Burgers,5317 Geary Blvd,Buffalo Burger Restaurant,$,4,415,Burgers,FALSE,5317 Geary Blvd,94121,Outer Richmond
New Hing Lung Restaurant,1556 Noriega St,New Hing Lung Restaurant,$$,3,199,Chinese,TRUE,1556 Noriega St,94122,Sunset/Parkside
Buena Vista Cafe,2765 Hyde St,The Buena Vista,$$,4,2600,Bars,FALSE,2765 Hyde St,94109,Russian Hill
Lupa,4109 24th St,Lupa Trattoria,$$,4,629,Italian,FALSE,4109 24th St,94114,Noe Valley
Burma Super Star Restaurant,309 Clement St,Burma Superstar,$$,4,6718,Burmese,FALSE,309 Clement St,94118,Inner Richmond
Dna Lounge,375 11th St,DNA Lounge,$$,3.5,752,Dance Clubs,FALSE,375 11th St,94103,South of Market
Chipotle Mexican Grill,126 New Montgomery St,Chipotle Mexican Grill,$,3,505,Mexican,FALSE,126 New Montgomery St,94105,Financial District/South Beach
Vanida Thai Kitchen,3050 Taraval St,Vanida Thai Kitchen,$$,3.5,445,Thai,FALSE,3050 Taraval St,94116,Sunset/Parkside
Ozumo Restaurant,161 Steuart St,Ozumo,$$$,3.5,2154,Sushi Bars,FALSE,161 Steuart St,94105,
Java Supreme,703 Guerrero St,Java Supreme,$,4.5,195,Breakfast & Brunch,FALSE,703 Guerrero St,94110,
Noriega Teriyaki House,1755 Noriega St,Noriega Teriyaki House,$$,3,569,Japanese,FALSE,1755 Noriega St,94122,Sunset/Parkside
Moscow & Tbilisi Bakery Store,5540 Geary Blvd,Moscow & Tbilisi Bakery Store,$,4,534,Bakeries,FALSE,5540 Geary Blvd,94121,Outer Richmond
Sociale,3665 Sacramento St,Sociale,$$$,4,663,Italian,FALSE,3665 Sacramento St,94118,
New Emmys Restaurant,1923 Ocean Ave,Emmy's Restaurant,$,3,652,Chinese,FALSE,1923 Ocean Ave,94127,West of Twin Peaks
Norman's Ice Cream & Freezes,2801 Leavenworth St,Norman's Ice Cream & Freezes,$,4.5,314,Ice Cream & Frozen Yogurt,FALSE,2801 Leavenworth St,94133,
Pork Store Cafe,1451 Haight St,Pork Store Cafe,$$,4,1343,Breakfast & Brunch,FALSE,1451 Haight St,94117,Haight Ashbury
In N Out Burger #154,333 Jefferson St,In-N-Out Burger,$,4,1817,Fast Food,FALSE,333 Jefferson St,94133,North Beach
Miki Restaurant,3639 Balboa St,Miki Restaurant,$$,4,487,Ramen,FALSE,3639 Balboa St,94121,Outer Richmond
Gold Corner Cafe,2723 Oakdale Ave,Gold Corner Cafe,$,2.5,14,Chinese,TRUE,2723 Oakdale Ave,94124,
Harry's Bar,2020 Fillmore St,Harry's Bar,$$,3,874,Bars,FALSE,2020 Fillmore St,94115,Pacific Heights
Matrixfillmore,3138 Fillmore St,MatrixFillmore Private Events,No record in Yelp,4.5,4,Venues & Event Spaces,FALSE,3138 Fillmore St,94123,
Julie's Kitchen,50 Fremont St,Julie's Kitchen,$$,3.5,220,Do-It-Yourself Food,FALSE,50 Fremont St,94105,Financial District/South Beach
Grumpys American Pub,125 Vallejo St,Grumpy's American Pub,$$,3.5,335,Pubs,FALSE,125 Vallejo St,94111,Financial District/South Beach
Sea Breeze Cafe,3940 Judah St,Sea Breeze Restaurant,$$,4,472,Breakfast & Brunch,FALSE,3940 Judah St,94122,Sunset/Parkside
Grand Mission Donut & Bakery,2195 Mission St,Grand Mission Donuts & Bakery,$,4,98,Donuts,FALSE,2195 Mission St,94110,Mission
Pebbles Cafe,2852 Diamond St,Pebbles Cafe,$,4,82,Sandwiches,FALSE,2852 Diamond St,94131,
Le P'tit Laurent,699 Chenery St,Le P'tit Laurent,$$$,4,762,French,FALSE,699 Chenery St,94131,Glen Park
Round Table Pizza,801 Van Ness Ave,Round Table Pizza,$$,2,186,Pizza,FALSE,801 Van Ness Ave,94109,Western Addition
New Asia Restaurant,772 Pacific Ave,New Asia Chinese Restaurant,$$,3,630,Dim Sum,FALSE,772 Pacific Ave,94133,Chinatown
Ristorante Ti Piacera,1507 Polk St,Ti Piacera Ristorante,$$,3.5,397,Italian,FALSE,1507 Polk St,94109,Nob Hill
Muddys Coffee House,1304 Valencia St,Muddy's Coffee House,$,3,178,Coffee & Tea,FALSE,1304 Valencia St,94110,Mission
Muddy Waters Coffee House,521 Valencia St,Muddy Waters Coffee House,$,3,299,Coffee & Tea,FALSE,521 Valencia St,94110,Mission
Blue Fig The,990 Valencia St,The Blue Fig,$,3.5,371,Coffee & Tea,TRUE,990 Valencia St,94110,Mission
Round Table Pizza,737 Portola Dr,Round Table Pizza,$$,2.5,214,Pizza,FALSE,737 Portola Dr,94127,West of Twin Peaks
Pops Sandwich Shop,737 Portola Dr,Pop's Sandwich Shop,$,4,233,Sandwiches,FALSE,737 Portola Dr,94127,West of Twin Peaks
Daily Grill San Francisco,347 Geary St,Daily Grill,$$,3.5,1188,American (Traditional),FALSE,347 Geary St,94102,Tenderloin
Tartine Bakery,600 Guerrero St,Tartine Bakery & Cafe,$$,4,7831,Bakeries,FALSE,600 Guerrero St,94110,Mission
The Grove Fillmore,2016 Fillmore St,The Grove - Fillmore,$$,3.5,1535,Sandwiches,FALSE,2016 Fillmore St,94115,Pacific Heights
Zingari Ristorante,501 Post St,Zingari Ristorante + Jazz Bar,$$$,3.5,535,Italian,FALSE,501 Post St,94102,Tenderloin
Squat & Gobble Cafe #5,2263 Chestnut St,Squat & Gobble,$$,3.5,879,Creperies,FALSE,2263 Chestnut St,94123,
Noah's New York Bagels #2147,2300 16th St,Noah's Bagels,$,2.5,141,Bagels,FALSE,2300 16th St,94103,
Osha Thai Noodle Cafe,696 Geary St,OSHA Thai Noodle Cafe,$$,3.5,1643,Thai,FALSE,696 Geary St,94102,Tenderloin
Brothers Restaurant,4128 Geary Blvd,Brothers Restaurant,$$,3.5,1160,Korean,FALSE,4128 Geary Blvd,94118,Inner Richmond
Thai Spice Restaurant,1730 Polk St,Thai Spice,$$,3.5,581,Thai,FALSE,1730 Polk St,94109,Russian Hill
New Golden Daisy,1041 Stockton St,New Golden Daisy,$,4,214,Delis,FALSE,1041 Stockton St,94108,Chinatown
Samila Thai Restaurant,2415 Clement St,Samila Thai Restaurant,$$,3.5,17,Thai,FALSE,2415 Clement St,94121,Outer Richmond
Smile's B B Q,2619 Mission St,Smile BBQ,$,3.5,45,Barbeque,FALSE,2619 Mission St,94110,
St Francis Fountain,2801 24th St,St. Francis Fountain,$$,4,1174,Breakfast & Brunch,FALSE,2801 24th St,94110,
La Corneta Taqueria,2731 Mission St,La Corneta Taqueria,$,4,632,Mexican,FALSE,2731 Mission St,94110,Mission
A La Turca,869 Geary St,A La Turca Restaurant,$$,4,810,Turkish,FALSE,869 Geary St,94109,Tenderloin
Cafe Madeleine,300 California St,Cafe Madeleine,$$,4,480,Coffee & Tea,FALSE,300 California St,94104,Financial District/South Beach
Cafe Madeleine,149 New Montgomery St,Cafe Madeleine,$,4,471,Bakeries,FALSE,149 New Montgomery St,94105,Financial District/South Beach
Nihon Whisky Lounge,1779 Folsom St,Nihon Whisky Lounge,$$$,3.5,1385,Japanese,FALSE,1779 Folsom St,94103,Mission
Crepes On Cole,100 Carl St,Crepes On Cole,$$,3.5,681,Creperies,FALSE,100 Carl St,94117,Haight Ashbury
Angelina's Deli-Cafe,6000 California St,Angelina's Deli Cafe,$$,4,336,Bakeries,FALSE,6000 California St,94121,Outer Richmond
Phoenix Irish Bar & Restaurant,811 Valencia St,Phoenix Irish Bar,$$,3.5,672,Sports Bars,FALSE,811 Valencia St,94110,
Deja Vu Pizza & Pasta,3227 16th St,Deja Vu Pizza and Pasta,$,3.5,397,Pizza,FALSE,3227 16th St,94103,Mission
Swig Bar,561 Geary St,Swig,$$,3.5,823,Lounges,FALSE,561 Geary St,94102,Tenderloin
The Devils Acre,256 Columbus Ave,The Devil's Acre,$$,4,328,Cocktail Bars,FALSE,256 Columbus Ave,94133,
Basil Thai Restaurant & Bar,1175 Folsom St,Basil Thai Restaurant & Bar,$$,4,1497,Thai,FALSE,1175 Folsom St,94103,South of Market
Via Veneto,2244 Fillmore St,Via Veneto,$$,4,249,Italian,FALSE,2244 Fillmore St,94115,Pacific Heights
Zushi Puzzle Inc,1910 Lombard St,Zushi Puzzle,$$$,4,1335,Sushi Bars,FALSE,1910 Lombard St,94123,Marina
Tanpopo,1740 Buchanan St,Tanpopo,$$,3.5,1352,Ramen,TRUE,1740 Buchanan St,94115,Japantown
Oasis Cafe,901 Divisadero St,Oasis Cafe,$$,4.5,241,Ethiopian,FALSE,901 Divisadero St,94115,Western Addition
Amasia Hides Sushi Bar,149 Noe St,Amasia Hide's Sushi Bar,$$,4,311,Sushi Bars,FALSE,149 Noe St,94114,
Amarena Restaurant,2162 Larkin St,Amarena,$$,4,578,Italian,FALSE,2162 Larkin St,94109,Russian Hill
Chava's Mexican Restaurant,2839 Mission St,Chava's Restaurant,$$,4,185,Mexican,FALSE,2839 Mission St,94110,Mission
Heung Yuen Restaurant,3279 22nd St,Heung Yuen Restaurant,$,4,280,Chinese,FALSE,3279 22nd St,94110,Mission
Gourmet Dim Sum Cafe,651 Clement St,Gourmet Dim Sum and Cafe,$,3.5,109,Dim Sum,FALSE,651 Clement St,94118,Inner Richmond
Sushi Rapture,1400 Leavenworth St,Sushi Rapture,$$,3.5,341,Sushi Bars,FALSE,1400 Leavenworth St,94109,Nob Hill
Hai's Restaurant,227 Hyde St,Hai's Restaurant,$,4,71,Chinese,FALSE,227 Hyde St,94102,Tenderloin
540 Club,540 Clement St,540 Club,$,4,383,Bars,FALSE,540 Clement St,94118,Inner Richmond
Ma's Dim Sum & Cafe,1315 Powell St,Ma's Dimsum & Cafe,$,4,53,Dim Sum,FALSE,1315 Powell St,94133,Chinatown
Five Happiness Restaurant,4142 Geary Blvd,Five Happiness,$$,3.5,266,Taiwanese,FALSE,4142 Geary Blvd,94118,Inner Richmond
Ten Ichi Japanese Restaurant,2235 Fillmore St,Ten-Ichi,$$,3.5,339,Japanese,FALSE,2235 Fillmore St,94115,Pacific Heights
Hiep Thanh Market,724 Larkin St,Hiep-Thanh Market,$,4,37,Fruits & Veggies,FALSE,724 Larkin St,94109,Tenderloin
Taraval Okazu Ya,1735 Taraval St,Taraval Okazu Ya Restaurant,$$,3.5,879,Japanese,FALSE,1735 Taraval St,94116,Sunset/Parkside
Okoze Sushi,1207 Union St,Okoze Sushi,$$$,4,643,Sushi Bars,FALSE,1207 Union St,94109,Russian Hill
Bergerac,316 11th St,Bergerac,$$,4,307,Comfort Food,FALSE,316 11th St,94103,Mission
Clement Bbq Restaurant,617 Clement St,Clement BBQ,$,4,268,Dim Sum,FALSE,617 Clement St,94118,Inner Richmond
El Super Burrito,1200 Polk St,El Super Burrito,$,3,344,Mexican,FALSE,1200 Polk St,94109,Nob Hill
La Loma Produce #7,2695 San Bruno Ave,La Loma Produce No 7,$,3,28,Grocery,FALSE,2695 San Bruno Ave,94134,Portola
Sri Thai Cuisine,4621 Lincoln Way,Sri Thai,$$,4,427,Thai,FALSE,4621 Lincoln Way,94122,Sunset/Parkside
Round Table Pizza,3567 Geary Blvd,Round Table Pizza,$$,2.5,120,Pizza,FALSE,3567 Geary Blvd,94118,Lone Mountain/USF
Hanaro,939 Geary St,Hanaro,$$,2.5,40,Dive Bars,FALSE,939 Geary St,94109,Tenderloin
Boboquivari's The Steak,1450 Lombard St,Bobo's,$$$,4,2084,Steakhouses,FALSE,1450 Lombard St,94123,Marina
Bobo's,1450 Lombard St,Bobo's,$$$,4,2084,Steakhouses,FALSE,1450 Lombard St,94123,Marina
Bobo,1450 Lombard St,Bobo's,$$$,4,2084,Steakhouses,FALSE,1450 Lombard St,94123,Marina
Twin Peaks Tavern,401 Castro St,Twin Peaks Tavern,$$,4,188,Gay Bars,FALSE,401 Castro St,94114,Castro/Upper Market
Tommy's Restaurant,5929 Geary Blvd,Tommy's Mexican Restaurant,$$,3.5,1154,Mexican,FALSE,5929 Geary Blvd,94121,Outer Richmond
House Of Bagels,5030 Geary Blvd,House Of Bagels,$,3.5,714,Bakeries,FALSE,5030 Geary Blvd,94118,Outer Richmond
Backroom Dining,339 Taraval St,Backroom Dining,$$,3,13,Asian Fusion,FALSE,339 Taraval St,94116,West of Twin Peaks
Marnee Thai Restaurant,2225 Irving St,Marnee Thai,$$,4,1788,Thai,FALSE,2225 Irving St,94122,Sunset/Parkside
Marnee Thai Restaurant,1243 9th Ave,Marnee Thai,$$,4,1635,Thai,FALSE,1243 9th Ave,94122,Inner Sunset
Tio Chilo's Grill,2872 24th St,Tio Chilo's Grill,$,4.5,56,Mexican,FALSE,2872 24th St,94110,Mission
The House,1230 Grant Ave,The House,$$$,4.5,4798,Asian Fusion,FALSE,1230 Grant Ave,94133,North Beach
House,1230 Grant Ave,The House,$$$,4.5,4798,Asian Fusion,FALSE,1230 Grant Ave,94133,North Beach
Emperor Palace Restaurant,530 Balboa St,Emperor Palace Restaurant,$,3.5,149,Chinese,FALSE,530 Balboa St,94118,Inner Richmond
Town Hall Restaurant,342 Howard St,Town Hall,$$$,3.5,1949,American (New),FALSE,342 Howard St,94105,
Louies Dim Sum,1242 Stockton St,Louie's Dim Sum,$,3.5,78,Dim Sum,FALSE,1242 Stockton St,94133,Chinatown
Blue Danube Coffee House,306 Clement St,Blue Danube Coffee House,$$,4,741,Coffee & Tea,FALSE,306 Clement St,94118,Inner Richmond
Lava Java,852 Stanyan St,Lava Java,$,4,181,Coffee & Tea,FALSE,852 Stanyan St,94117,Haight Ashbury
Tak Kee Lee Restaurant,2435 Noriega St,Tak Kee Lee,$,3.5,181,Chinese,FALSE,2435 Noriega St,94122,Sunset/Parkside
Axum Cafe,698 Haight St,Axum Cafe,$$,3.5,393,Ethiopian,FALSE,698 Haight St,94117,Haight Ashbury
Saffron Lounge,685 Townsend St,Saffron 685,$$,4,721,Mediterranean,FALSE,685 Townsend St,94103,Mission Bay
Morning Brew Cafe,401 Sansome St,Morning Brew Cafe,$,3,183,Coffee & Tea,FALSE,401 Sansome St,94111,Chinatown
China First,336 Clement St,China First Restaurant,$$,3.5,370,Chinese,FALSE,336 Clement St,94118,Inner Richmond
Goood Frikin Chicken,10 29th St,Goood Frikin Chicken,$$,3.5,896,Greek,FALSE,10 29th St,94110,Bernal Heights
Haystack Pizza Restaurant,3881 24th St,Haystack Pizza,$$,3.5,424,Pizza,FALSE,3881 24th St,94114,Noe Valley
Rigolo,3465 California St,Rigolo Café,$$,3.5,605,Breakfast & Brunch,FALSE,3465 California St,94118,Presidio Heights
Boxed Foods Company,245 Kearny St,Boxed Foods Company,$$,4,561,Sandwiches,TRUE,245 Kearny St,94108,Financial District/South Beach
B Restaurant,720 Howard St,B Restaurant & Bar,$$,3.5,742,American (New),FALSE,720 Howard St,94103,Financial District/South Beach
Blue Jay Cafe,919 Divisadero St,Brenda's Meat & Three,$$,4,1078,Breakfast & Brunch,FALSE,919 Divisadero St,94115,Western Addition
La Reyna Bakery,3114 24th St,La Reyna Bakery & Coffee Shop,$,3.5,51,Bakeries,FALSE,3114 24th St,94110,Mission
Ben Wah Restaurant,2786 California St,Ben Wah,$,3,96,Chinese,FALSE,2786 California St,94115,Pacific Heights
House Of Hunan Restaurant,2 Townsend St,House Of Hunan,$,3,221,Chinese,FALSE,2 Townsend St,94107,Financial District/South Beach
Universal Cafe,2814 19th St,Universal Cafe,$$,4,1349,Breakfast & Brunch,FALSE,2814 19th St,94110,Mission
Michelangelo Cafe,579 Columbus Ave,Michelangelo Ristorante & Caffe,$$,3.5,532,Italian,TRUE,579 Columbus Ave,94133,
Ristorante Marcello,2100 Taraval St,Ristorante Marcello,$$,4,208,Italian,FALSE,2100 Taraval St,94116,Sunset/Parkside
Espetus Churrascaria Inc,1686 Market St,Espetus Brazilian Steak House,$$$,4,3386,Steakhouses,FALSE,1686 Market St,94102,Hayes Valley
Restaurante Familiar,4499 Mission St,Restaurante Familiar,$,3.5,44,Mexican,FALSE,4499 Mission St,94112,Excelsior
Bistro Aix,3340 Steiner St,Bistro Aix,$$,4,658,French,FALSE,3340 Steiner St,94123,Marina
Holey Bagel Bakery,3872 24th St,Holey Bagel,$,3.5,132,Bakeries,FALSE,3872 24th St,94114,Noe Valley
Subway 31419,2599 San Bruno Ave,Subway Restaurants,$,2,34,Sandwiches,FALSE,2599 San Bruno Ave,94134,Portola
Bissap Baobab,3388 19th St,Bissap Baobab,$$,4,891,Dance Clubs,FALSE,3388 19th St,94110,Mission
Boomerang Cocktail Lounge,1430 Noriega St,Boomerang Cocktail Lounge,$,4,34,Dive Bars,FALSE,1430 Noriega St,94122,Sunset/Parkside
Taboun,203 Parnassus Ave,Taboun,$,4,252,Middle Eastern,FALSE,203 Parnassus Ave,94117,Inner Sunset
The Village Market & Pizza,750 Font Blvd,The Village Market & Pizza at SFSU,$,3.5,55,Pizza,FALSE,750 Font Blvd,94132,Lakeshore
Yogi Food Market,908 Sutter St,Yogi Food Market,$$,4,15,Grocery,FALSE,908 Sutter St,94109,Nob Hill
Bite,912 Sutter St,Bite,$$,4,755,Delis,FALSE,912 Sutter St,94109,Nob Hill
R Bar,1176 Sutter St,R Bar,$,4,371,Dive Bars,FALSE,1176 Sutter St,94109,Nob Hill
Judahlicious Juice,3906 Judah St,Judahlicious,$$,3.5,752,Juice Bars & Smoothies,FALSE,3906 Judah St,94122,Sunset/Parkside
Mandalay Restaurant,4348 California St,Mandalay,$$,4,2128,Burmese,FALSE,4348 California St,94118,Inner Richmond
Little Star Pizza,846 Divisadero St,Little Star Pizza,$$,4.5,2861,Pizza,FALSE,846 Divisadero St,94117,Western Addition
Valentina Ristorante,419 Cortland Ave,Vega,$$,4,624,Italian,FALSE,419 Cortland Ave,94110,Bernal Heights
Vega,419 Cortland Ave,Vega,$$,4,624,Italian,FALSE,419 Cortland Ave,94110,Bernal Heights
Cocotte,1521 Hyde St,Cocotte,$$$,4,511,French,FALSE,1521 Hyde St,94109,Russian Hill
Cocotte Rotisserie,1521 Hyde St,Cocotte,$$$,4,511,French,FALSE,1521 Hyde St,94109,Russian Hill
La Santaneca De La Mission,2815 Mission St,La Santaneca De La Mission,$$,4,380,Mexican,FALSE,2815 Mission St,94110,Mission
The Sentinel Restaurant,37 New Montgomery St,The Sentinel,$,4,1296,Sandwiches,FALSE,37 New Montgomery St,94105,Financial District/South Beach
Cafe Mars,798 Brannan St,Mars Bar & Restaurant,$$,4,440,Bars,FALSE,798 Brannan St,94103,
Mars Bar & Restaurant,798 Brannan St,Mars Bar & Restaurant,$$,4,440,Bars,FALSE,798 Brannan St,94103,
Venice Pizza And Restaurant,5228 Mission St,Venice Pizza,$$,3,62,Pizza,FALSE,5228 Mission St,94112,Outer Mission
Philippine Delicacies,5609 Mission St,Philippine Delicacies,$,3,13,Grocery,FALSE,5609 Mission St,94112,Excelsior
Sweet Chinito,3100 Mission St,Sweet Chinito Coffee,$,4.5,99,Coffee & Tea,FALSE,3100 Mission St,94110,Bernal Heights
The Hidden Vine Wine Bar,408 Merchant St,The Hidden Vine,$$,4.5,793,Wine Bars,FALSE,408 Merchant St,94111,Chinatown
Palio Paninoteca,500 Parnassus Ave,Palio Caffe - UCSF,$,3,60,Delis,FALSE,500 Parnassus Ave,94122,
Ace's,998 Sutter St,Ace's,$$,4,295,Bars,FALSE,998 Sutter St,94109,Nob Hill
Cafe De La Presse,352 Grant Ave,Café de la Presse,$$,3.5,1602,French,FALSE,352 Grant Ave,94108,Financial District/South Beach
First Cup,2911 Van Ness Ave,First Cup,$,4,58,Coffee & Tea,FALSE,2911 Van Ness Ave,94109,Marina
Thailand Restaurant,438 Castro St,Thailand Restaurant,$$,3.5,273,Thai,FALSE,438 Castro St,94114,
Cafe Bakery,1365 Noriega St,Cafe Bakery & Restaurant,$$,3.5,494,Bakeries,FALSE,1365 Noriega St,94122,Sunset/Parkside
Won Ton House,1325 Noriega St,Won-Ton-House,$,3.5,475,Cantonese,FALSE,1325 Noriega St,94122,Sunset/Parkside
California Golden Cookies,255 Kearny St,California Golden Cookies,No record in Yelp,4,14,Desserts,FALSE,255 Kearny St,94108,Financial District/South Beach
Sf Wraps,255 Kearny St,SF Wraps,$$,4,261,Mediterranean,FALSE,255 Kearny St,94108,Financial District/South Beach
Tsing Tao Restaurant,3107 Clement St,Tsing Tao Chinese,$,3.5,278,Chinese,FALSE,3107 Clement St,94121,Outer Richmond
Cafe Bellini,235 Powell St,Cafe Bellini,$$,3,414,American (New),TRUE,235 Powell St,94102,Tenderloin
Cafe Bellini,500 Parnassus Ave,Cafe Bellini,$,2.5,42,Italian,FALSE,500 Parnassus Ave,94143,
Osha Thai Restaurant & Lounge,311 3rd St,Osha Thai,$$,3.5,940,Thai,FALSE,311 3rd St,94107,Financial District/South Beach
Taqueria Los Coyotes No 2 Inc,3036 16th St,Taqueria Los Coyotes,$$,4,891,Mexican,FALSE,3036 16th St,94103,Mission
La Torta Gorda,2833 24th St,La Torta Gorda,$,4,299,Mexican,FALSE,2833 24th St,94110,Mission
City Nights,715 Harrison St,City Nights,$$,2,286,Dance Clubs,FALSE,715 Harrison St,94107,South of Market
Sakanabune Japanese Restaurant,5701 Geary Blvd,Sakana Bune Japanese Restaurant,$$,3.5,643,Sushi Bars,FALSE,5701 Geary Blvd,94121,Outer Richmond
Suppenkuche,525 Laguna St,Suppenküche,$$,4,3114,German,FALSE,525 Laguna St,94102,
Sun Rise Restaurant,3126 24th St,Sun Rise Restaurant,$,4,345,Latin American,FALSE,3126 24th St,94110,Mission
The Richmond,615 Balboa St,The Richmond,$$$,4.5,675,American (New),FALSE,615 Balboa St,94118,Inner Richmond
Sens Restaurant,4 Embarcadero Ctr,Sens Restaurant,$$,3.5,944,Venues & Event Spaces,FALSE,4 Embarcadero Ctr,94111,
Beretta,1199 Valencia St,Beretta,$$,4,3593,Italian,FALSE,1199 Valencia St,94110,Mission
Nopa,560 Divisadero St,Nopa,$$$,4,5052,American (New),FALSE,560 Divisadero St,94117,Hayes Valley
Claddagh Coffee,951 Geneva Ave,Claddagh Coffee,$,3,64,Coffee & Tea,FALSE,951 Geneva Ave,94112,Excelsior
